country,date,ML,Low_90,High_90
Poland,2020-03-19,1.7281880580885092,1.2052913311059514,2.1930155440998576
Poland,2020-03-20,1.7099645863906945,1.257257019037843,2.207313797793237
Poland,2020-03-21,1.6943323569793678,1.2126512989818674,2.149369165114025
Poland,2020-03-22,1.6741830059345089,1.211697677800896,2.1185073864162605
Poland,2020-03-23,1.6443341929695594,1.207123711145027,2.0455052876998474
Poland,2020-03-24,1.607687806725413,1.2296749208430082,2.00570058872112
Poland,2020-03-25,1.5789818001878844,1.2273465737168605,1.9762199625182586
Poland,2020-03-26,1.5508462787018642,1.1726567378159853,1.883455574786367
Poland,2020-03-27,1.5109631690875442,1.1734712141806465,1.8503232214545904
Poland,2020-03-28,1.482138047479666,1.1523602573971201,1.7942257534131725
